¡ˆ¡°,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¥Î «≥º”(m/s),√÷¥Î «≥º” «≥«‚(16πÊ¿ß),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
159,2016-01-01,5.3,7.4,340,52.1
159,2016-01-02,8.1,7.2,270,62.9
159,2016-01-03,11.4,5.5,270,68.3
159,2016-01-04,10.4,6.4,270,46.3
159,2016-01-05,5.3,5.6,360,40.9
159,2016-01-06,4.8,6.8,290,34.5
159,2016-01-07,3.9,4.9,320,47.3
159,2016-01-08,2.5,5.9,140,44.1
159,2016-01-09,3.8,5.3,250,46.1
159,2016-01-10,4.8,4.6,340,46.1
159,2016-01-11,4.5,8,360,27.6
159,2016-01-12,2.5,7.5,340,26.4
159,2016-01-13,1.5,6.4,290,46.4
159,2016-01-14,2.9,6,270,50.3
159,2016-01-15,4.2,3.7,250,45.6
159,2016-01-16,5.7,3.9,50,50.9
159,2016-01-17,6.6,5.5,20,77.4
159,2016-01-18,2.3,12.5,290,57.4
159,2016-01-19,-3.1,12.4,290,36.8
159,2016-01-20,-2.5,8.5,340,36.1
159,2016-01-21,-.9,7.9,340,29.9
159,2016-01-22,.8,9.7,340,23.9
159,2016-01-23,-2.9,9.2,360,32
159,2016-01-24,-7.6,9.5,270,45.4
159,2016-01-25,-2.6,5.8,290,44.8
159,2016-01-26,1.4,8,250,49.4
159,2016-01-27,4.7,5.8,270,52.5
159,2016-01-28,4.4,5.5,50,69.9
159,2016-01-29,4.6,5.9,50,91.9
159,2016-01-30,6.1,6,340,78.6
159,2016-01-31,3.8,6.8,320,62.6
159,2016-02-01,1.7,8.6,340,34.3
159,2016-02-02,1.2,8.9,340,30.8
159,2016-02-03,1.9,7.8,340,37.3
159,2016-02-04,3.2,5,290,41
159,2016-02-05,4.1,5.7,360,29.4
159,2016-02-06,2.4,7,360,37.8
159,2016-02-07,3.3,7.4,340,43.6
159,2016-02-08,4.5,9.7,270,39.9
159,2016-02-09,6.4,10.5,270,31.5
159,2016-02-10,6.3,7.6,340,40.4
159,2016-02-11,9.2,4.8,110,63.9
159,2016-02-12,12.3,8.2,230,90.9
159,2016-02-13,14.5,10.7,250,98.8
159,2016-02-14,6.7,10.7,270,59
159,2016-02-15,-.4,11.1,290,40.6
159,2016-02-16,2.2,9.5,250,52.3
159,2016-02-17,3.9,7.7,270,41.8
159,2016-02-18,5.7,7.8,270,49.4
159,2016-02-19,8.9,7.6,270,51.1
159,2016-02-20,7.8,7.1,360,56.1
159,2016-02-21,3.8,6.8,360,33
159,2016-02-22,6.6,4.9,230,44.4
159,2016-02-23,7.9,5.4,360,37.4
159,2016-02-24,3,6.7,340,49.3
159,2016-02-25,3.1,8.2,360,34.9
159,2016-02-26,6.1,7.4,250,52.4
159,2016-02-27,10.6,7.7,250,54.1
159,2016-02-28,10.1,13.5,230,70
159,2016-02-29,1.1,10.7,270,41
159,2016-03-01,1.4,6.3,360,38.8
159,2016-03-02,6.3,7.4,200,42
159,2016-03-03,11.4,8.1,230,62.4
159,2016-03-04,11.5,3.4,70,96.9
159,2016-03-05,13.7,13,230,86.8
159,2016-03-06,13.3,9.7,230,98.6
159,2016-03-07,11.4,5.4,110,68.4
159,2016-03-08,9.6,5.5,340,66.6
159,2016-03-09,6.9,6.2,20,70.5
159,2016-03-10,5.6,7.2,340,37.8
159,2016-03-11,3.5,7.9,360,41.5
159,2016-03-12,5.1,7.5,360,35.9
159,2016-03-13,7.6,4.1,340,44.6
159,2016-03-14,7.7,6.3,360,57.8
159,2016-03-15,8.2,5.4,200,49.5
159,2016-03-16,11.2,7.1,200,45.9
159,2016-03-17,12.6,7.1,230,57.4
159,2016-03-18,12.7,4.3,90,97.9
159,2016-03-19,13.3,6.2,340,66.6
159,2016-03-20,10.6,4.9,90,60.9
159,2016-03-21,10.2,5.5,110,59.6
159,2016-03-22,12.3,6.9,200,60.1
159,2016-03-23,11,5.6,110,66.5
159,2016-03-24,8.6,6.4,20,58.1
159,2016-03-25,8.1,4.5,140,58.8
159,2016-03-26,7.4,4.7,200,78
159,2016-03-27,9.5,7.8,200,58.3
159,2016-03-28,11.8,7.9,200,41.6
159,2016-03-29,13.3,10.5,230,57.8
159,2016-03-30,15,7.5,250,64.3
159,2016-03-31,14.8,4.8,290,69.9
159,2016-04-01,16.1,4.6,90,59.6
159,2016-04-02,15.1,6.9,230,76.9
159,2016-04-03,14.2,5.4,270,86.8
159,2016-04-04,11.7,4.6,50,84.5
159,2016-04-05,14.3,7,200,65.5
159,2016-04-06,14.8,5.5,140,60.6
159,2016-04-07,12.7,4.7,50,93.8
159,2016-04-08,16.5,6.6,250,61.8
159,2016-04-09,17.2,6.4,200,50.6
159,2016-04-10,15.6,5.3,90,58.8
159,2016-04-11,10.5,5.4,90,65.5
159,2016-04-12,12.5,4.7,110,64.3
159,2016-04-13,14.6,5.7,250,93.9
159,2016-04-14,17.4,6.8,360,66.8
159,2016-04-15,14.6,5.4,70,56.8
159,2016-04-16,15,8.6,200,77.5
159,2016-04-17,16.5,15.1,230,49.3
159,2016-04-18,15.2,9.9,270,41.5
159,2016-04-19,14.9,9.5,270,54.1
159,2016-04-20,15.4,5.7,200,64.9
159,2016-04-21,15.5,5.7,270,92.1
