¡ˆ¡°,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¥Î «≥º”(m/s),√÷¥Î «≥º” «≥«‚(16πÊ¿ß),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
143,2016-01-01,1.7,3.7,270,70.5
143,2016-01-02,3,2.6,250,74.8
143,2016-01-03,4.9,2.3,270,77
143,2016-01-04,5.8,5.3,270,58.1
143,2016-01-05,2.9,4,290,29.4
143,2016-01-06,2.2,6.2,290,47.5
143,2016-01-07,1.7,6.5,270,50.4
143,2016-01-08,.8,6.9,270,49.4
143,2016-01-09,1.3,4.4,270,54.4
143,2016-01-10,2.1,4.9,290,58.6
143,2016-01-11,1.5,4.5,290,33.9
143,2016-01-12,-.5,5.3,270,38.1
143,2016-01-13,0,5.9,290,57.1
143,2016-01-14,.2,5.6,270,56.1
143,2016-01-15,-.3,2.7,110,66.3
143,2016-01-16,.6,2.2,110,68.9
143,2016-01-17,1.4,2.9,270,81.5
143,2016-01-18,-.2,7.9,290,62.1
143,2016-01-19,-6.3,10.8,270,46.8
143,2016-01-20,-5.4,5,270,49.5
143,2016-01-21,-3.4,4.5,290,38.9
143,2016-01-22,-2.1,5.2,290,32
143,2016-01-23,-5.8,7.5,290,37.6
143,2016-01-24,-10.2,7.6,270,49
143,2016-01-25,-5,7.1,290,54.9
143,2016-01-26,-.7,5.6,290,59.5
143,2016-01-27,.9,3.8,270,56.4
143,2016-01-28,-.7,1.3,110,76.1
143,2016-01-29,.9,1.4,340,98
143,2016-01-30,2.1,2.1,110,95
143,2016-01-31,1.2,5,270,61
143,2016-02-01,-1.2,6.4,290,40.5
143,2016-02-02,-1.9,4.5,270,43
143,2016-02-03,-.4,6,270,50.4
143,2016-02-04,2.3,4.9,290,48.4
143,2016-02-05,1.8,5.4,270,35
143,2016-02-06,.2,5.4,290,41
143,2016-02-07,0,3.9,270,45.8
143,2016-02-08,2.6,5.8,250,46.8
143,2016-02-09,3.9,8.1,290,36
143,2016-02-10,3.3,2.7,140,50.4
143,2016-02-11,5.5,2.9,110,63.8
143,2016-02-12,9.7,4,110,94
143,2016-02-13,13,3.5,110,96.3
143,2016-02-14,4.2,8.4,320,62.9
143,2016-02-15,-2.2,7.8,290,47
143,2016-02-16,1.1,6.2,270,56
143,2016-02-17,2.8,6,290,44.1
143,2016-02-18,3.7,3.2,290,57
143,2016-02-19,5.4,4,110,56.8
143,2016-02-20,5.6,7.2,270,43.9
143,2016-02-21,2.2,5.7,290,36.4
143,2016-02-22,3.6,2.5,290,45.6
143,2016-02-23,4.8,7.3,290,42.6
143,2016-02-24,.7,4.8,320,45.5
143,2016-02-25,1.6,5.8,290,41.3
143,2016-02-26,3.3,4.5,270,68.3
143,2016-02-27,6.6,4.7,290,66.8
143,2016-02-28,7.2,8.9,290,66.9
143,2016-02-29,-.5,8.5,290,46.9
143,2016-03-01,.2,5.1,290,41.9
143,2016-03-02,4.8,3.9,270,47.4
143,2016-03-03,8.3,3.4,270,54.5
143,2016-03-04,7.2,5.8,110,91.6
143,2016-03-05,12.1,6.7,110,89
143,2016-03-06,13.5,4.3,290,73.1
143,2016-03-07,11.5,6.3,110,64.9
143,2016-03-08,8.9,5.9,290,41.1
143,2016-03-09,6.4,5.2,110,46.8
143,2016-03-10,2.9,7,290,35
143,2016-03-11,2.3,5.6,290,38.4
143,2016-03-12,4.1,4.2,290,40.1
143,2016-03-13,5.7,3,360,50.9
143,2016-03-14,6.2,5.6,290,56.1
143,2016-03-15,7.6,3.2,270,49.8
143,2016-03-16,11.2,3.9,290,35.9
143,2016-03-17,12.4,3.3,160,37
143,2016-03-18,10.7,3.5,110,89.8
143,2016-03-19,10.8,7.5,110,73.4
143,2016-03-20,9,6,90,65.1
143,2016-03-21,10.8,3.4,110,54.4
143,2016-03-22,12.9,4.6,270,45
143,2016-03-23,10,6.8,110,61.1
143,2016-03-24,6.8,6.8,90,64.8
143,2016-03-25,6.5,4.5,90,71.3
143,2016-03-26,7.2,5.6,110,72.5
143,2016-03-27,9.7,5,270,46.8
143,2016-03-28,11.6,4,270,31.6
143,2016-03-29,12.5,5.2,270,48.5
143,2016-03-30,15.4,4.2,320,46.4
143,2016-03-31,13.9,2,290,40.1
143,2016-04-01,14.4,5.6,110,48.9
143,2016-04-02,15.2,3.5,110,60.1
143,2016-04-03,11.7,5.4,110,83.4
143,2016-04-04,10.7,4.5,140,83
143,2016-04-05,14.1,5,290,52.4
143,2016-04-06,14.1,4.1,110,53.5
143,2016-04-07,13.1,3.6,110,84.8
143,2016-04-08,16.8,6.2,290,52.6
143,2016-04-09,18.2,4.4,270,42
143,2016-04-10,13.6,8.5,110,66.1
143,2016-04-11,9.8,6.5,90,64.1
143,2016-04-12,12.4,3.2,110,59.9
143,2016-04-13,14.6,3.6,110,94.3
143,2016-04-14,18.2,7.6,290,54.8
143,2016-04-15,14.9,6.8,90,58.5
143,2016-04-16,15,5.3,140,69.6
143,2016-04-17,16.3,12.1,270,44.8
143,2016-04-18,16.2,6.3,250,34.6
143,2016-04-19,14.5,6.8,290,45
143,2016-04-20,15.6,4.1,160,49.8
143,2016-04-21,14.5,4.4,140,84.8
143,2016-04-22,19.4,4.5,270,61.8
143,2016-04-23,17.9,4.7,290,37.1
143,2016-04-24,15.6,5.9,90,39.5
143,2016-04-25,17.2,2.8,110,54
143,2016-04-26,16.2,7.5,110,62
143,2016-04-27,10.1,6.6,110,94.4
143,2016-04-28,13,6.5,110,72.3
143,2016-04-29,15.5,3.5,270,55.6
143,2016-04-30,18.5,5.3,270,58.6
143,2016-05-01,19.7,4.6,290,55.8
143,2016-05-02,20,5,230,64
143,2016-05-03,17.6,8.4,250,71.1
143,2016-05-04,19.5,11.6,270,31.8
143,2016-05-05,20.3,6.6,290,35.9
143,2016-05-06,20.5,4.1,290,74.3
143,2016-05-07,19.8,6.3,290,43.3
143,2016-05-08,18.7,4.5,90,51.6
143,2016-05-09,19.9,2.3,340,52
143,2016-05-10,14.5,6.5,110,90.9
