¡ˆ¡°,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¥Î «≥º”(m/s),√÷¥Î «≥º” «≥«‚(16πÊ¿ß),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
133,2016-01-01,1.6,4.4,180,77.4
133,2016-01-02,6.6,3.7,250,76.5
133,2016-01-03,6.9,3,180,83.5
133,2016-01-04,5.1,3.8,340,62.5
133,2016-01-05,-.6,2.8,340,45.4
133,2016-01-06,-.1,2.5,340,62.9
133,2016-01-07,.1,3.9,320,59.4
133,2016-01-08,-1,3.9,340,62
133,2016-01-09,1.4,2.6,320,60.8
133,2016-01-10,1.2,3.7,180,63.8
133,2016-01-11,-1.8,3,340,54.6
133,2016-01-12,-2.7,3.7,320,58.8
133,2016-01-13,-1.5,3.4,180,77.4
133,2016-01-14,-1.3,3.7,340,57.5
133,2016-01-15,.5,2.7,180,70.5
133,2016-01-16,.9,1.7,320,73.8
133,2016-01-17,1.7,3.5,140,84
133,2016-01-18,-3.1,6.3,320,75.5
133,2016-01-19,-8.3,6.9,320,66
133,2016-01-20,-8.1,3,320,67.9
133,2016-01-21,-5.7,2.9,320,64.5
133,2016-01-22,-5.7,2.7,340,59.1
133,2016-01-23,-8.2,5.7,320,64.8
133,2016-01-24,-12.7,4.7,290,70.5
133,2016-01-25,-7.8,2.6,90,75.1
133,2016-01-26,-1.8,2.5,200,76.3
133,2016-01-27,-.1,4.4,180,71.6
133,2016-01-28,-.4,3.3,110,78.4
133,2016-01-29,3,4.3,90,81.1
133,2016-01-30,3.3,3.1,340,78.8
133,2016-01-31,-1.5,3.6,340,61.4
133,2016-02-01,-3.9,4.9,320,54.9
133,2016-02-02,-3.9,3.1,320,53.1
133,2016-02-03,-1.9,3.8,320,62.3
133,2016-02-04,-.5,4.1,340,56
133,2016-02-05,-.7,4.5,320,51
133,2016-02-06,-1.6,4.4,320,51.5
133,2016-02-07,-2.3,3,180,54.3
133,2016-02-08,2.2,5.5,200,58.9
133,2016-02-09,2.6,5.6,320,48.1
133,2016-02-10,3.3,2.4,160,48.8
133,2016-02-11,6.8,4.9,110,49.5
133,2016-02-12,10,4.9,110,91.4
133,2016-02-13,13,5.2,110,92.3
133,2016-02-14,-.1,5.5,290,73.6
133,2016-02-15,-3.3,5.8,320,56.5
133,2016-02-16,-.2,5.3,290,73.5
133,2016-02-17,.9,3.9,320,61.3
133,2016-02-18,3.8,4.4,200,63.8
133,2016-02-19,3.5,2.5,180,69.9
133,2016-02-20,2.5,5.7,320,53.5
133,2016-02-21,.4,3.5,320,45.4
133,2016-02-22,2.9,2.2,110,43.3
133,2016-02-23,2.5,5.3,340,55.3
133,2016-02-24,-1.7,4.8,320,51
133,2016-02-25,.5,4.4,200,56.9
133,2016-02-26,2.5,3.6,180,88.3
133,2016-02-27,5.4,3.8,340,71.6
133,2016-02-28,2.2,3.7,340,86.1
133,2016-02-29,-2.7,6.2,320,66.6
133,2016-03-01,-1.4,4.1,320,59.8
133,2016-03-02,3,5.6,180,69.1
133,2016-03-03,7.4,2.7,110,71.3
133,2016-03-04,9.8,4.3,110,83.3
133,2016-03-05,12.2,7.9,180,91.9
133,2016-03-06,10.3,3.3,200,69.1
133,2016-03-07,9,3.9,180,65.5
133,2016-03-08,5,3.4,320,51.1
133,2016-03-09,2.2,4.9,320,45.6
133,2016-03-10,.3,5.7,320,44.3
133,2016-03-11,.6,3.9,320,46.8
133,2016-03-12,2.8,3.5,320,44.1
133,2016-03-13,4.1,2.7,90,56.5
133,2016-03-14,4.4,3.4,320,64.1
133,2016-03-15,6,3,110,48.3
133,2016-03-16,9.2,5.8,180,40.1
133,2016-03-17,10.1,3.8,180,44.9
133,2016-03-18,11,2.9,140,88
