¡ˆ¡°,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¥Î «≥º”(m/s),√÷¥Î «≥º” «≥«‚(16πÊ¿ß),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
156,2016-01-01,3.2,2.7,230,73.1
156,2016-01-02,6.5,1.5,90,78.6
156,2016-01-03,7.3,2.2,250,78.9
156,2016-01-04,6.4,3.5,50,66.5
156,2016-01-05,2.4,4,70,40.3
156,2016-01-06,3.3,4,20,54.1
156,2016-01-07,2.7,4,20,63.4
156,2016-01-08,1.2,2.2,340,81
156,2016-01-09,2.5,4.4,270,65
156,2016-01-10,3.7,3.6,50,59.4
156,2016-01-11,1.5,4.8,50,48.8
156,2016-01-12,-.3,3.9,20,53.6
156,2016-01-13,1,6.7,270,70.8
156,2016-01-14,1.4,3.2,270,74.4
156,2016-01-15,2.6,3.1,270,63.5
156,2016-01-16,4.6,3,70,59.5
156,2016-01-17,3.7,3.9,70,76.5
156,2016-01-18,-.8,4.6,320,84.9
156,2016-01-19,-4.5,4.6,290,79.5
156,2016-01-20,-4.5,4,50,64.1
156,2016-01-21,-3,4.6,50,59.8
156,2016-01-22,-2.8,5.9,50,44.6
156,2016-01-23,-5.8,5.7,20,60.8
156,2016-01-24,-9.5,4.8,270,77.6
156,2016-01-25,-5.5,2.5,230,77.6
156,2016-01-26,-.2,1.8,250,74.8
156,2016-01-27,2,1.8,200,75.9
156,2016-01-28,2.6,5.8,50,87.6
156,2016-01-29,3.9,4.8,50,97.5
156,2016-01-30,3.7,2.5,250,81.9
156,2016-01-31,-.2,3.1,20,63.9
156,2016-02-01,-2.2,4.5,20,58.9
156,2016-02-02,-2.1,4.2,70,52.6
156,2016-02-03,-.1,2.6,50,56.5
156,2016-02-04,.7,2.5,320,58.9
156,2016-02-05,1.2,3.4,20,53.6
156,2016-02-06,-.4,4,20,59.1
156,2016-02-07,-.4,2.8,70,52
156,2016-02-08,2.8,6.6,250,59
156,2016-02-09,4,3.8,270,48.6
156,2016-02-10,5,2.7,180,48.5
156,2016-02-11,10.9,7,160,53.3
156,2016-02-12,13.7,5.1,180,95.8
156,2016-02-13,14.2,6.4,180,94.5
156,2016-02-14,.7,4.5,320,81.1
156,2016-02-15,-2.1,4.2,20,73.5
156,2016-02-16,1.3,6.8,270,69.9
156,2016-02-17,2.9,4,50,56.1
156,2016-02-18,4.7,6.4,200,61.5
156,2016-02-19,7,2.3,50,58.6
156,2016-02-20,4.7,5.2,20,44.4
156,2016-02-21,2.4,2.9,20,42.4
156,2016-02-22,3.5,3.7,50,44.1
156,2016-02-23,4,4.4,20,43.8
156,2016-02-24,-.6,4.1,360,49.1
156,2016-02-25,1.5,3.5,20,47.5
156,2016-02-26,3.5,2.5,250,74.5
156,2016-02-27,8.9,5.5,270,55.9
156,2016-02-28,6.7,10.2,250,76
156,2016-02-29,-1.1,4.8,290,63
156,2016-03-01,-.2,2.8,50,54.5
156,2016-03-02,4.5,4.3,270,62.5
156,2016-03-03,10,5.2,200,68.8
156,2016-03-04,11.8,2.1,70,98.8
156,2016-03-05,15.1,6.8,180,93
156,2016-03-06,12.2,3,70,69.5
156,2016-03-07,11.9,4.3,230,65.1
156,2016-03-08,6.5,6.5,50,63.8
156,2016-03-09,3,3.8,20,51
156,2016-03-10,1.3,5.8,20,41.3
156,2016-03-11,1.4,4,20,46.6
156,2016-03-12,4.1,3.2,50,36.3
156,2016-03-13,5.2,4.1,50,57.3
156,2016-03-14,4.9,5.4,50,61.1
156,2016-03-15,7.2,3.4,250,47.6
156,2016-03-16,9.6,3.5,200,50.3
156,2016-03-17,12.4,3.6,230,54.8
156,2016-03-18,12,4.4,50,96.6
156,2016-03-19,11.6,3.3,290,66.1
156,2016-03-20,9.2,5,250,67.8
156,2016-03-21,10.1,3.2,270,62.9
156,2016-03-22,9.6,4,270,59.1
156,2016-03-23,8.4,3.6,360,51
156,2016-03-24,7.3,3.8,290,45.9
156,2016-03-25,6.7,4.2,230,58.6
156,2016-03-26,5.2,4.5,250,63.5
156,2016-03-27,7.1,3.3,320,49.9
156,2016-03-28,9.8,4.8,230,50.3
156,2016-03-29,12,7.5,230,65.3
156,2016-03-30,15.4,4.1,50,48
156,2016-03-31,15,5.3,230,43.9
156,2016-04-01,15.7,3.9,250,44.8
156,2016-04-02,16.6,4,200,53
156,2016-04-03,14.1,4.1,50,85.1
156,2016-04-04,13.4,5.6,200,80.5
156,2016-04-05,12.9,2.8,290,41.9
156,2016-04-06,12.5,7.6,50,55.3
156,2016-04-07,13,2.7,20,86.3
156,2016-04-08,15.4,3.4,250,64.1
156,2016-04-09,17,4.2,230,52.6
156,2016-04-10,16.9,4.2,250,59.5
156,2016-04-11,14.5,5.5,200,68.5
156,2016-04-12,15.1,5.5,180,57.9
156,2016-04-13,16.9,4.6,200,94
156,2016-04-14,17.2,3.3,20,70.4
156,2016-04-15,15.9,5.9,230,57.6
156,2016-04-16,15.8,12.4,230,80.5
156,2016-04-17,12.6,11.1,250,65.5
156,2016-04-18,13.3,5.9,270,67
156,2016-04-19,14.3,3.8,250,54.9
156,2016-04-20,16,5.3,160,58.5
156,2016-04-21,15.1,3.7,230,97.9
156,2016-04-22,17.9,4.8,200,76.6
156,2016-04-23,17.1,3.3,50,56.6
156,2016-04-24,17.3,5,270,32.3
156,2016-04-25,18.6,4.3,230,46.5
156,2016-04-26,18.7,4.9,200,67.1
156,2016-04-27,13.1,6.5,50,98
156,2016-04-28,14.5,2.5,250,81.4
156,2016-04-29,15.5,4.4,270,63.1
156,2016-04-30,17,6,230,55.5
156,2016-05-01,19.3,6.2,250,48.5
156,2016-05-02,19.2,6.9,200,78.6
156,2016-05-03,15.5,8.9,270,85.6
156,2016-05-04,16.6,5.6,250,65.1
156,2016-05-05,18.5,5.9,180,64.1
156,2016-05-06,19.9,6.3,180,81.5
156,2016-05-07,17.3,4.6,20,43.4
156,2016-05-08,18.9,5.3,200,43.9
156,2016-05-09,17.1,3.3,250,70.6
156,2016-05-10,14.6,2.6,20,98.8
156,2016-05-11,17.1,3.2,250,77.1
156,2016-05-12,19,5.5,230,72.3
156,2016-05-13,18.3,4.8,180,71.6
