¡ˆ¡°,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¥Î «≥º”(m/s),√÷¥Î «≥º” «≥«‚(16πÊ¿ß),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
152,2016-01-01,4,2.7,110,53.3
152,2016-01-02,5.6,2.8,320,61
152,2016-01-03,7,3.4,110,76.4
152,2016-01-04,7.7,5.3,340,52.8
152,2016-01-05,3.9,3.4,360,31.9
152,2016-01-06,3.9,5.4,340,34.1
152,2016-01-07,3.3,6.9,340,38.6
152,2016-01-08,2.2,7.1,290,38.5
152,2016-01-09,3,5.4,320,45.4
152,2016-01-10,3.1,5.2,320,52
152,2016-01-11,3.5,5,320,22.3
152,2016-01-12,2,4.4,320,20.9
152,2016-01-13,1.2,6.1,320,44.6
152,2016-01-14,1.1,6.1,320,53.1
152,2016-01-15,1.5,4.5,250,58.3
152,2016-01-16,2.8,2.6,250,63.1
152,2016-01-17,4.5,3.7,20,80
152,2016-01-18,2.2,8.6,290,52.9
152,2016-01-19,-3.9,9.5,290,32.4
152,2016-01-20,-3.7,6.5,360,42.4
152,2016-01-21,-1.6,6.5,340,31.5
152,2016-01-22,-.2,4,360,24.3
152,2016-01-23,-3.4,6.2,340,26.9
152,2016-01-24,-8.1,9.9,290,36.3
152,2016-01-25,-2.9,7.3,340,42.6
152,2016-01-26,.8,5.9,270,52.9
152,2016-01-27,2.3,3.4,270,54.8
152,2016-01-28,1.9,3.2,20,74
152,2016-01-29,4.5,4,20,96.4
152,2016-01-30,5,4.3,20,91.5
152,2016-01-31,2.4,5,340,58.3
152,2016-02-01,1.3,4.5,320,30.4
152,2016-02-02,.5,4.4,50,32
152,2016-02-03,1.4,5.4,340,34.8
152,2016-02-04,3.2,6.3,320,40
152,2016-02-05,3.9,5.6,340,25.4
152,2016-02-06,2.1,5.1,320,33.4
152,2016-02-07,2.3,3.9,140,54.3
152,2016-02-08,3.7,6.4,270,39.9
152,2016-02-09,5.8,8.5,290,26.9
152,2016-02-10,5.3,4.9,340,46.6
152,2016-02-11,6.7,4.1,160,73.6
152,2016-02-12,11.3,4.6,230,92.5
152,2016-02-13,14.7,4.3,230,95.5
152,2016-02-14,7.7,6,320,57.6
152,2016-02-15,-.8,7.9,320,35.8
152,2016-02-16,2.3,6.5,290,44.9
152,2016-02-17,3.3,6.4,320,35.8
152,2016-02-18,5,5.1,250,47.9
152,2016-02-19,8.7,4.3,140,50.5
152,2016-02-20,6.8,8.2,20,55.4
152,2016-02-21,3.5,9.2,290,32.6
152,2016-02-22,5.7,3.8,140,43.5
152,2016-02-23,7.2,6.8,340,29.5
152,2016-02-24,2,4.6,360,52.8
152,2016-02-25,2.3,6.2,340,31.8
152,2016-02-26,5.4,6.4,270,50
152,2016-02-27,9,6.5,270,67.4
152,2016-02-28,9.1,9.6,250,68.1
152,2016-02-29,.8,7.1,290,38.8
152,2016-03-01,1.7,4.7,340,29.3
152,2016-03-02,6.8,5.4,230,32.5
152,2016-03-03,10.4,5.1,200,51.9
152,2016-03-04,9.1,2.1,320,91
152,2016-03-05,13.4,8.2,230,84.3
152,2016-03-06,14.1,4.9,200,89.1
152,2016-03-07,10.6,4,90,70.3
152,2016-03-08,9.6,4.5,320,48.5
152,2016-03-09,5.9,6.1,70,73.4
152,2016-03-10,5.2,5.1,320,35.4
152,2016-03-11,2.8,5.1,340,39.4
152,2016-03-12,4.6,4.8,320,34.3
152,2016-03-13,7.1,3.8,50,43
152,2016-03-14,5.7,7,70,62.5
152,2016-03-15,7.1,4.9,140,53
152,2016-03-16,11.4,4.8,110,44.3
152,2016-03-17,12.7,5,140,42.8
152,2016-03-18,12.7,3.6,160,89.4
152,2016-03-19,11.7,6.7,90,69
152,2016-03-20,9.1,5.4,50,63.9
152,2016-03-21,9.7,4.9,110,56.5
152,2016-03-22,12.2,5.2,140,56.4
152,2016-03-23,9.4,6,90,65
152,2016-03-24,7.2,6.7,70,60.5
152,2016-03-25,7.3,4.4,230,64.3
152,2016-03-26,5.7,4.7,140,87.6
152,2016-03-27,8.8,4.3,70,59.5
152,2016-03-28,12.6,5.3,140,32.6
152,2016-03-29,13,8.1,230,55
152,2016-03-30,15.6,5.5,140,55.8
152,2016-03-31,13.4,4.5,160,63.8
152,2016-04-01,13.9,5.6,90,69.5
152,2016-04-02,13.9,4.9,200,84.1
152,2016-04-03,12.6,3,360,96.8
152,2016-04-04,10.1,3.5,320,96.9
152,2016-04-05,13,4.8,270,72.8
152,2016-04-06,14.9,4.4,320,50
152,2016-04-07,12.4,3.9,200,93.8
152,2016-04-08,16.6,4.9,160,55.9
152,2016-04-09,17.9,6.3,200,42.6
152,2016-04-10,13.4,5,340,71.5
152,2016-04-11,8.6,5,90,74.8
152,2016-04-12,11,4.3,140,71.5
152,2016-04-13,14.2,4.2,180,94
152,2016-04-14,18.3,4.6,320,56.6
152,2016-04-15,13.1,4.9,90,66.5
152,2016-04-16,14.1,9,180,80.4
152,2016-04-17,17.2,9.9,200,48.9
152,2016-04-18,15.4,4.4,200,36.9
152,2016-04-19,13.6,5.2,90,56.6
152,2016-04-20,15.1,5.3,180,63.4
152,2016-04-21,14.8,4.5,140,96.6
152,2016-04-22,19.1,4.9,200,67.8
152,2016-04-23,16.3,3.5,340,63.5
152,2016-04-24,14.6,6,70,49.4
152,2016-04-25,15.4,3.9,180,51.8
152,2016-04-26,15.3,5.5,70,62.6
152,2016-04-27,10.9,6.1,340,97.9
152,2016-04-28,11.6,5.8,340,80.4
152,2016-04-29,14.2,4.3,110,58.1
152,2016-04-30,17.9,6.9,200,58.9
152,2016-05-01,19.4,4.9,180,57.4
152,2016-05-02,20.1,7.4,200,63.5
152,2016-05-03,17.4,9.8,160,72.1
