PM-2.5,O3,NO2,CO,SO2,temperatures,wind_velocity,wind_direction,relative_humidity
18.0,0.29411764705882354,0.15254237288135594,0.23529411764705885,0.6,0.2575,0.21782178217821785,2,0.35644937586685166
21.0,0.23529411764705882,0.3389830508474576,0.29411764705882354,0.4,0.2575,0.21782178217821785,2,0.35644937586685166
19.0,0.3382352941176471,0.2711864406779661,0.35294117647058826,0.4,0.2575,0.21782178217821785,2,0.35644937586685166
22.0,0.3088235294117647,0.2711864406779661,0.29411764705882354,0.4,0.2575,0.21782178217821785,2,0.35644937586685166
18.0,0.1911764705882353,0.32203389830508483,0.23529411764705885,0.6,0.2575,0.21782178217821785,2,0.35644937586685166
20.0,0.2647058823529411,0.01694915254237288,0.23529411764705885,0.4,0.2575,0.21782178217821785,2,0.35644937586685166
34.0,0.16176470588235292,0.2711864406779661,0.29411764705882354,0.6,0.255,0.1485148514851485,2,0.5561719833564495
44.0,0.07352941176470588,0.6101694915254238,0.4705882352941177,0.6,0.255,0.1485148514851485,2,0.5561719833564495
39.0,0.11764705882352941,0.6440677966101696,0.5294117647058824,0.4,0.255,0.1485148514851485,2,0.5561719833564495
44.0,0.11764705882352941,0.5593220338983051,0.5294117647058824,0.4,0.255,0.1485148514851485,2,0.5561719833564495
33.0,0.11764705882352941,0.44067796610169496,0.35294117647058826,0.6,0.255,0.1485148514851485,2,0.5561719833564495
41.0,0.14705882352941177,0.01694915254237288,0.35294117647058826,0.4,0.255,0.1485148514851485,2,0.5561719833564495
16.0,0.2647058823529411,0.01694915254237288,0.17647058823529416,0.4,0.205,0.1782178217821782,2,0.35644937586685166
10.0,0.23529411764705882,0.23728813559322035,0.17647058823529416,0.4,0.205,0.1782178217821782,2,0.35644937586685166
20.0,0.2794117647058823,0.25423728813559326,0.29411764705882354,0.4,0.205,0.1782178217821782,2,0.35644937586685166
15.0,0.25,0.288135593220339,0.29411764705882354,0.4,0.205,0.1782178217821782,2,0.35644937586685166
12.0,0.3529411764705882,0.11864406779661019,0.17647058823529416,0.8,0.205,0.1782178217821782,2,0.35644937586685166
19.0,0.29411764705882354,0.2711864406779661,0.29411764705882354,0.4,0.205,0.1782178217821782,2,0.35644937586685166
19.0,0.2647058823529411,0.13559322033898305,0.17647058823529416,0.6,0.185,0.1287128712871287,2,0.38280166435506247
16.0,0.2794117647058823,0.15254237288135594,0.23529411764705885,0.8,0.185,0.1287128712871287,2,0.38280166435506247
20.0,0.1764705882352941,0.3728813559322034,0.29411764705882354,0.4,0.185,0.1287128712871287,2,0.38280166435506247
21.0,0.2647058823529411,0.2711864406779661,0.23529411764705885,0.4,0.185,0.1287128712871287,2,0.38280166435506247
22.0,0.2058823529411765,0.32203389830508483,0.23529411764705885,0.4,0.185,0.1287128712871287,2,0.38280166435506247
15.0,0.2058823529411765,0.25423728813559326,0.23529411764705885,0.6,0.185,0.1287128712871287,2,0.38280166435506247
23.0,0.25,0.22033898305084745,0.23529411764705885,0.8,0.23500000000000001,0.2277227722772277,2,0.44382801664355065
31.0,0.1764705882352941,0.4067796610169492,0.29411764705882354,0.8,0.23500000000000001,0.2277227722772277,2,0.44382801664355065
26.0,0.25,0.3389830508474576,0.23529411764705885,0.4,0.23500000000000001,0.2277227722772277,2,0.44382801664355065
29.0,0.2205882352941176,0.3389830508474576,0.23529411764705885,0.4,0.23500000000000001,0.2277227722772277,2,0.44382801664355065
21.0,0.2058823529411765,0.288135593220339,0.17647058823529416,0.6,0.23500000000000001,0.2277227722772277,2,0.44382801664355065
30.0,0.23529411764705882,0.2711864406779661,0.23529411764705885,0.4,0.23500000000000001,0.2277227722772277,2,0.44382801664355065
17.0,0.38235294117647056,0.15254237288135594,0.17647058823529416,0.2,0.2575,0.28712871287128716,2,0.3966712898751734
21.0,0.29411764705882354,0.288135593220339,0.23529411764705885,0.2,0.2575,0.28712871287128716,2,0.3966712898751734
14.0,0.29411764705882354,0.23728813559322035,0.17647058823529416,0.4,0.2575,0.28712871287128716,2,0.3966712898751734
18.0,0.2794117647058823,0.3389830508474576,0.29411764705882354,1.0,0.2575,0.28712871287128716,2,0.3966712898751734
15.0,0.3676470588235294,0.13559322033898305,0.17647058823529416,0.6,0.2575,0.28712871287128716,2,0.3966712898751734
19.0,0.3382352941176471,0.288135593220339,0.23529411764705885,0.4,0.2575,0.28712871287128716,2,0.3966712898751734
35.0,0.1764705882352941,0.1864406779661017,0.23529411764705885,0.6,0.265,0.21782178217821785,1,0.6033287101248268
38.0,0.029411764705882353,0.6101694915254238,0.4705882352941177,0.6,0.265,0.21782178217821785,1,0.6033287101248268
34.0,0.08823529411764705,0.5254237288135594,0.35294117647058826,0.4,0.265,0.21782178217821785,1,0.6033287101248268
37.0,0.014705882352941176,0.6271186440677966,0.5294117647058824,0.4,0.265,0.21782178217821785,1,0.6033287101248268
29.0,0.04411764705882351,0.4915254237288135,0.29411764705882354,0.6,0.265,0.21782178217821785,1,0.6033287101248268
36.0,0.11764705882352941,0.288135593220339,0.23529411764705885,0.2,0.265,0.21782178217821785,1,0.6033287101248268
28.0,0.2205882352941176,0.2033898305084746,0.23529411764705885,0.6,0.29,0.21782178217821785,6,0.9015256588072122
32.0,0.11764705882352941,0.44067796610169496,0.29411764705882354,0.2,0.29,0.21782178217821785,6,0.9015256588072122
31.0,0.1764705882352941,0.3898305084745763,0.29411764705882354,0.2,0.29,0.21782178217821785,6,0.9015256588072122
36.0,0.11764705882352941,0.44067796610169496,0.35294117647058826,0.2,0.29,0.21782178217821785,6,0.9015256588072122
