@relation Incheon-2016-pm2.5

@attribute PM-2.5 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
37,0.211268,0.406977,0.421053,0.25,0.377622,0.232759,4,0.789552
37,0.140845,0.418605,0.473684,0.4,0.377622,0.232759,4,0.789552
63,0.15493,0.534884,0.473684,0.45,0.377622,0.232759,4,0.789552
49,0.183099,0.255814,0.157895,0.25,0.377622,0.232759,4,0.789552
67,0.084507,0.627907,0.789474,0.25,0.377622,0.232759,4,0.789552
24,0.183099,0.372093,0.421053,0.35,0.377622,0.232759,4,0.789552
57,0.070423,0.511628,0.736842,0.2,0.377622,0.232759,4,0.789552
27,0.239437,0.360465,0.368421,0.25,0.477855,0.163793,4,0.926866
28,0.211268,0.325581,0.263158,0.35,0.477855,0.163793,4,0.926866
42,0.225352,0.360465,0.210526,0.4,0.477855,0.163793,4,0.926866
30,0.338028,0.151163,0.105263,0.3,0.477855,0.163793,4,0.926866
44,0.15493,0.465116,0.526316,0.25,0.477855,0.163793,4,0.926866
31,0.267606,0.255814,0.210526,0.3,0.477855,0.163793,4,0.926866
41,0.140845,0.418605,0.631579,0.25,0.477855,0.163793,4,0.926866
43,0.309859,0.360465,0.473684,0.2,0.44289,0,0,1
52,0.169014,0.430233,0.421053,0.35,0.44289,0,0,1
85,0.112676,0.569767,0.421053,0.55,0.44289,0,0,1
48,0.352113,0.127907,0.157895,0.25,0.44289,0,0,1
89,0.169014,0.616279,0.789474,0.3,0.44289,0,0,1
58,0.211268,0.406977,0.421053,0.35,0.44289,0,0,1
77,0.225352,0.430233,0.736842,0.2,0.44289,0,0,1
48,0.309859,0.244186,0.315789,0.3,0.356643,0.37931,0,0.625373
63,0.352113,0.255814,0.263158,0.35,0.356643,0.37931,0,0.625373
45,0.422535,0.081395,0.105263,0.25,0.356643,0.37931,0,0.625373
42,0.464789,0.139535,0.368421,0.25,0.356643,0.37931,0,0.625373
68,0.295775,0.360465,0.578947,0.3,0.356643,0.37931,0,0.625373
52,0.309859,0.290698,0.315789,0.35,0.356643,0.37931,0,0.625373
67,0.422535,0.186047,0.473684,0.2,0.356643,0.37931,0,0.625373
13,0.366197,0.127907,0.263158,0.25,0.261072,0.293103,2,0.228358
12,0.267606,0.232558,0.210526,0.3,0.261072,0.293103,2,0.228358
13,0.28169,0.232558,0.157895,0.3,0.261072,0.293103,2,0.228358
18,0.323944,0.093023,0.052632,0.3,0.261072,0.293103,2,0.228358
20,0.239437,0.290698,0.421053,0.3,0.261072,0.293103,2,0.228358
13,0.211268,0.27907,0.157895,0.45,0.261072,0.293103,2,0.228358
22,0.309859,0.186047,0.157895,0.2,0.261072,0.293103,2,0.228358
27,0.239437,0.302326,0.368421,0.3,0.298368,0.301724,0,0.50597
27,0.140845,0.383721,0.315789,0.35,0.298368,0.301724,0,0.50597
37,0.126761,0.44186,0.263158,0.45,0.298368,0.301724,0,0.50597
27,0.309859,0.093023,0.105263,0.3,0.298368,0.301724,0,0.50597
38,0.169014,0.348837,0.315789,0.25,0.298368,0.301724,0,0.50597
31,0.126761,0.406977,0.263158,0.4,0.298368,0.301724,0,0.50597
39,0.084507,0.55814,0.526316,0.35,0.298368,0.301724,0,0.50597
15,0.394366,0.093023,0.315789,0.25,0.25641,0.293103,0,0.456716
19,0.253521,0.232558,0.263158,0.3,0.25641,0.293103,0,0.456716
18,0.267606,0.209302,0.157895,0.3,0.25641,0.293103,0,0.456716
19,0.352113,0.081395,0.105263,0.3,0.25641,0.293103,0,0.456716
27,0.225352,0.325581,0.263158,0.4,0.25641,0.293103,0,0.456716
15,0.267606,0.232558,0.210526,0.3,0.25641,0.293103,0,0.456716
26,0.323944,0.174419,0.210526,0.2,0.25641,0.293103,0,0.456716
14,0.323944,0.186047,0.263158,0.25,0.261072,0.198276,0,0.49403
14,0.211268,0.290698,0.263158,0.3,0.261072,0.198276,0,0.49403
16,0.211268,0.290698,0.210526,0.45,0.261072,0.198276,0,0.49403
19,0.295775,0.116279,0.105263,0.3,0.261072,0.198276,0,0.49403
19,0.211268,0.325581,0.263158,0.4,0.261072,0.198276,0,0.49403
24,0.197183,0.406977,0.315789,0.35,0.261072,0.198276,0,0.49403
23,0.28169,0.22093,0.210526,0.2,0.261072,0.198276,0,0.49403
17,0.098592,0.244186,0.210526,0.3,0.291375,0.215517,6,0.589552
18,0.253521,0.267442,0.157895,0.4,0.291375,0.215517,6,0.589552
21,0.323944,0.104651,0.105263,0.25,0.291375,0.215517,6,0.589552
17,0.323944,0.186047,0.210526,0.2,0.291375,0.215517,6,0.589552
26,0.197183,0.383721,0.315789,0.3,0.291375,0.215517,6,0.589552
15,0.253521,0.255814,0.210526,0.35,0.291375,0.215517,6,0.589552
25,0.295775,0.22093,0.263158,0.2,0.291375,0.215517,6,0.589552
18,0.267606,0.209302,0.210526,0.3,0.335664,0.267241,2,0.337313
20,0.323944,0.209302,0.157895,0.35,0.335664,0.267241,2,0.337313
23,0.352113,0.093023,0.105263,0.25,0.335664,0.267241,2,0.337313
